station_1,station_1_name,station_2,station_2_name,distance
90,Euston Square,145,King's Cross St. Pancras,995.1423672
92,Farringdon,145,King's Cross St. Pancras,1735.85691
101,Goldhawk Road,110,Hammersmith,919.0550221
101,Goldhawk Road,227,Shepherd's Bush (H),445.2482388
147,Ladbroke Grove,150,Latimer Road,581.713585
147,Ladbroke Grove,283,Westbourne Park,789.1556174
150,Latimer Road,227,Shepherd's Bush (H),1108.610429
156,Liverpool Street,167,Moorgate,446.2670918
164,Mile End,244,Stepney Green,1007.174825
193,Paddington,218,Royal Oak,955.6630276
200,Plaistow,270,Upton Park,1263.416463
200,Plaistow,289,West Ham,855.3786689
218,Royal Oak,283,Westbourne Park,936.1037013
244,Stepney Green,295,Whitechapel,1030.369169
11,Baker Street,28,Bond Street,1076.607648
11,Baker Street,249,St. John's Wood,1785.442777
23,Bermondsey,41,Canada Water,938.0809567
23,Bermondsey,157,London Bridge,1773.187096
28,Bond Street,107,Green Park,951.9620757
41,Canada Water,42,Canary Wharf,2174.547912
42,Canary Wharf,183,North Greenwich,1796.46196
43,Canning Town,183,North Greenwich,1607.823649
43,Canning Town,289,West Ham,1568.034312
45,Canons Park,207,Queensbury,1626.231455
45,Canons Park,243,Stanmore,1407.298034
71,Dollis Hill,172,Neasden,840.9820067
71,Dollis Hill,297,Willesden Green,1233.05514
94,Finchley Road,254,Swiss Cottage,633.5470454
94,Finchley Road,290,West Hampstead,715.2798037
107,Green Park,285,Westminster,1364.488894
142,Kilburn,290,West Hampstead,978.3569378
142,Kilburn,297,Willesden Green,1188.561612
144,Kingsbury,207,Queensbury,1187.853234
144,Kingsbury,282,Wembley Park,2348.39913
157,London Bridge,233,Southwark,1312.160108
172,Neasden,282,Wembley Park,2274.08243
233,Southwark,279,Waterloo,633.4214431
247,Stratford,289,West Ham,1588.171821
249,St. John's Wood,254,Swiss Cottage,945.799699
279,Waterloo,285,Westminster,823.246267
2,Aldgate,156,Liverpool Street,611.9207912
6,Amersham,46,Chalfont & Latimer,3244.890006
11,Baker Street,104,Great Portland Street,925.826411
11,Baker Street,94,Finchley Road,3175.274183
14,Barbican,92,Farringdon,513.7514262
14,Barbican,167,Moorgate,675.8724451
46,Chalfont & Latimer,50,Chesham,5401.80674
46,Chalfont & Latimer,53,Chorleywood,3319.569379
53,Chorleywood,214,Rickmansworth,3477.544282
62,Croxley,168,Moor Park,2059.162684
62,Croxley,280,Watford,1989.598217
75,Eastcote,210,Rayners Lane,1779.737731
75,Eastcote,222,Ruislip Manor,1135.557554
90,Euston Square,104,Great Portland Street,606.7802471
90,Euston Square,145,King's Cross St. Pancras,995.1423672
92,Farringdon,145,King's Cross St. Pancras,1735.85691
304,West Silvertown,305,Pontoon Dock,649.2040485
94,Finchley Road,282,Wembley Park,7115.148277
115,Harrow-on-the-Hill,178,Northwick Park,1265.602797
115,Harrow-on-the-Hill,184,North Harrow,1896.230506
115,Harrow-on-the-Hill,291,West Harrow,1157.854276
125,Hillingdon,134,Ickenham,1051.086896
125,Hillingdon,271,Uxbridge,2158.567464
134,Ickenham,220,Ruislip,1794.688161
156,Liverpool Street,167,Moorgate,446.2670918
168,Moor Park,179,Northwood,2110.100745
168,Moor Park,214,Rickmansworth,3110.32453
178,Northwick Park,202,Preston Road,1746.27181
179,Northwood,180,Northwood Hills,1571.166604
180,Northwood Hills,199,Pinner,2169.832367
184,North Harrow,199,Pinner,1526.845938
202,Preston Road,282,Wembley Park,1452.510065
210,Rayners Lane,291,West Harrow,1338.932269
220,Ruislip,222,Ruislip Manor,638.7539252
7,Angel,145,King's Cross St. Pancras,1258.741922
7,Angel,188,Old Street,1441.910198
8,Archway,124,Highgate,1559.902413
8,Archway,264,Tufnell Park,967.8464849
12,Balham,56,Clapham South,1112.938528
12,Balham,257,Tooting Bec,929.6060931
13,Bank,157,London Bridge,914.0416639
13,Bank,167,Moorgate,589.6681309
22,Belsize Park,47,Chalk Farm,1005.867998
22,Belsize Park,111,Hampstead,1192.966759
29,Borough,84,Elephant & Castle,857.0882761
29,Borough,157,London Bridge,713.4270493
34,Brent Cross,100,Golders Green,1430.36417
34,Brent Cross,119,Hendon Central,1103.757618
38,Burnt Oak,58,Colindale,1259.871641
38,Burnt Oak,81,Edgware,1428.603467
40,Camden Town,47,Chalk Farm,949.1968753
40,Camden Town,89,Euston,1370.831288
40,Camden Town,139,Kentish Town,1290.262043
40,Camden Town,170,Mornington Crescent,618.6163064
49,Charing Cross,87,Embankment,179.5034177
49,Charing Cross,151,Leicester Square,436.4845942
54,Clapham Common,55,Clapham North,684.0331915
54,Clapham Common,56,Clapham South,1212.542072
55,Clapham North,245,Stockwell,952.7428763
58,Colindale,119,Hendon Central,2191.223677
59,Colliers Wood,240,South Wimbledon,1022.658421
59,Colliers Wood,258,Tooting Broadway,1257.689248
77,East Finchley,93,Finchley Central,2485.199152
77,East Finchley,124,Highgate,1713.436256
84,Elephant & Castle,136,Kennington,749.2151811
87,Embankment,279,Waterloo,698.0514602
89,Euston,145,King's Cross St. Pancras,745.4333128
89,Euston,170,Mornington Crescent,752.3355618
89,Euston,277,Warren Street,507.9665068
93,Finchley Central,165,Mill Hill East,1417.77876
93,Finchley Central,288,West Finchley,983.8772791
100,Golders Green,111,Hampstead,2063.692012
102,Goodge Street,259,Tottenham Court Road,513.822611
102,Goodge Street,277,Warren Street,533.2004201
121,High Barnet,261,Totteridge & Whetstone,2471.525025
136,Kennington,191,Oval,899.4787883
136,Kennington,279,Waterloo,1802.922342
139,Kentish Town,264,Tufnell Park,695.2285469
151,Leicester Square,259,Tottenham Court Road,612.5677132
167,Moorgate,188,Old Street,861.4270335
169,Morden,240,South Wimbledon,1482.377587
191,Oval,245,Stockwell,1274.149742
257,Tooting Bec,258,Tooting Broadway,1113.85657
261,Totteridge & Whetstone,302,Woodside Park,1440.630672
288,West Finchley,302,Woodside Park,953.1131593
1,Acton Town,73,Ealing Common,987.887901
1,Acton Town,234,South Ealing,1891.239091
1,Acton Town,265,Turnham Green,1960.868291
5,Alperton,194,Park Royal,1869.505568
5,Alperton,252,Sudbury Town,1566.671018
9,Arnos Grove,31,Bounds Green,1200.92862
9,Arnos Grove,232,Southgate,1793.039229
10,Arsenal,128,Holloway Road,837.8340466
10,Arsenal,95,Finsbury Park,624.4382151
17,Barons Court,74,Earl's Court,1164.949048
17,Barons Court,110,Hammersmith,850.9027635
30,Boston Manor,176,Northfields,866.4701677
30,Boston Manor,190,Osterley,2469.925251
31,Bounds Green,303,Wood Green,1471.080746
39,Caledonian Road,128,Holloway Road,633.6791697
39,Caledonian Road,145,King's Cross St. Pancras,1955.784929
57,Cockfosters,187,Oakwood,1313.73001
60,Covent Garden,126,Holborn,582.8905391
60,Covent Garden,151,Leicester Square,318.2470542
73,Ealing Common,182,North Ealing,824.0412537
74,Earl's Court,99,Gloucester Road,1038.049385
75,Eastcote,210,Rayners Lane,1779.737731
75,Eastcote,222,Ruislip Manor,1135.557554
99,Gloucester Road,236,South Kensington,633.552488
107,Green Park,133,Hyde Park Corner,818.8765294
107,Green Park,197,Picadilly Circus,689.5368832
110,Hammersmith,265,Turnham Green,2062.45644
116,Hatton Cross,117,"Heathrow Terminals 1, 2 & 3",2121.042143
116,Hatton Cross,118,Heathrow Terminal 4,1902.224537
116,Hatton Cross,132,Hounslow West,2684.129891
117,"Heathrow Terminals 1, 2 & 3",118,Heathrow Terminal 4,1322.224508
125,Hillingdon,134,Ickenham,1051.086896
125,Hillingdon,271,Uxbridge,2158.567464
126,Holborn,223,Russell Square,693.8713539
130,Hounslow Central,131,Hounslow East,736.2064342
130,Hounslow Central,132,Hounslow West,1340.683189
131,Hounslow East,190,Osterley,936.669487
133,Hyde Park Corner,146,Knightsbridge,571.3173106
134,Ickenham,220,Ruislip,1794.688161
145,King's Cross St. Pancras,223,Russell Square,868.8135169
146,Knightsbridge,236,South Kensington,1226.953985
151,Leicester Square,197,Picadilly Circus,455.1862405
160,Manor House,266,Turnpike Lane,2190.595099
176,Northfields,234,South Ealing,517.6510841
182,North Ealing,194,Park Royal,1104.121574
187,Oakwood,232,Southgate,1733.488693
210,Rayners Lane,235,South Harrow,1791.052709
220,Ruislip,222,Ruislip Manor,638.7539252
235,South Harrow,251,Sudbury Hill,1374.528042
251,Sudbury Hill,252,Sudbury Town,1611.620293
266,Turnpike Lane,303,Wood Green,923.3858943
26,Blackhorse Road,260,Tottenham Hale,1238.043408
26,Blackhorse Road,274,Walthamstow Central,1592.830291
35,Brixton,245,Stockwell,1220.514648
